Gender,IsSenior,Married,Dependents,ClientMonths,PhoneService,InternetService,OnlineSecurity,TechSupport,StreamingTV,ContractType,PaymentMethod,MonthlyCharges,TotalCharges,Churn
male,0,yes,no,69,yes,no,no internet service,no internet service,no internet service,two year,mailed check,71.45,1363.45,no
female,0,no,no,4,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),71.45,273.0,yes
male,0,yes,no,72,yes,dsl,yes,yes,yes,two year,bank transfer (automatic),71.45,6254.45,no
male,1,yes,no,58,yes,dsl,no,no,no,month-to-month,electronic check,71.45,2651.2,yes
female,0,yes,yes,16,yes,no,no internet service,no internet service,no internet service,month-to-month,electronic check,71.45,321.4,no
male,0,yes,no,43,yes,fiber optic,yes,yes,no,one year,bank transfer (automatic),71.45,3539.25,no
female,0,yes,no,2,yes,fiber optic,no,yes,yes,month-to-month,electronic check,71.45,242.8,yes
male,0,yes,no,14,yes,dsl,no,yes,yes,two year,mailed check,71.45,1181.75,no
female,0,yes,no,53,yes,fiber optic,no,no,yes,one year,bank transfer (automatic),71.45,5000.2,yes
female,0,no,no,32,yes,no,no internet service,no internet service,no internet service,one year,bank transfer (automatic),71.45,654.55,no
female,0,yes,no,34,yes,no,no internet service,no internet service,no internet service,month-to-month,electronic check,71.45,780.2,no
female,1,no,no,15,yes,fiber optic,no,no,no,month-to-month,mailed check,71.45,1145.7,yes
female,1,no,no,7,yes,fiber optic,yes,no,no,month-to-month,bank transfer (automatic),71.45,503.6,yes
female,0,yes,yes,15,yes,fiber optic,no,no,yes,month-to-month,bank transfer (automatic),71.45,1559.25,no
male,0,yes,no,61,yes,no,no internet service,no internet service,no internet service,one year,credit card (automatic),71.45,1252.0,no
female,0,no,no,1,yes,dsl,no,no,no,month-to-month,bank transfer (automatic),71.45,29.95,yes
female,0,no,no,1,yes,dsl,no,no,no,month-to-month,mailed check,71.45,45.3,no
male,0,no,no,8,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),71.45,662.65,yes
male,0,yes,yes,33,yes,dsl,yes,no,yes,one year,credit card (automatic),71.45,2453.3,no
female,0,no,no,13,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,1111.65,yes
female,0,yes,no,1,yes,dsl,no,no,no,month-to-month,electronic check,71.45,24.8,yes
male,0,no,no,20,yes,dsl,no,no,no,month-to-month,mailed check,71.45,1023.85,no
male,0,no,no,3,yes,dsl,no,yes,no,month-to-month,electronic check,71.45,82.15,no
female,0,no,no,13,yes,no,no internet service,no internet service,no internet service,one year,electronic check,71.45,244.8,no
female,0,yes,no,40,yes,dsl,no,no,no,month-to-month,credit card (automatic),71.45,2379.1,no
male,0,yes,yes,43,yes,dsl,yes,yes,no,one year,credit card (automatic),71.45,3173.35,no
male,0,yes,no,6,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,531.0,yes
female,0,yes,yes,69,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,1375.4,no
female,0,yes,yes,72,yes,fiber optic,yes,no,yes,two year,credit card (automatic),71.45,8129.3,no
male,0,yes,yes,59,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),71.45,1192.7,no
female,0,yes,no,20,yes,fiber optic,yes,yes,yes,month-to-month,electronic check,71.45,1901.65,no
male,0,yes,yes,24,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,587.4,no
male,0,no,no,59,yes,fiber optic,no,yes,yes,month-to-month,electronic check,71.45,6519.75,no
male,0,yes,yes,72,yes,fiber optic,no,yes,yes,two year,bank transfer (automatic),71.45,8041.65,no
male,0,no,yes,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,71.45,20.75,no
female,0,yes,no,27,yes,fiber optic,yes,yes,yes,one year,credit card (automatic),71.45,2681.15,no
female,0,no,no,14,yes,fiber optic,no,yes,no,month-to-month,credit card (automatic),71.45,1112.3,no
male,0,yes,yes,71,yes,fiber optic,yes,no,yes,two year,electronic check,71.45,7405.5,no
male,0,no,yes,13,yes,fiber optic,no,no,yes,month-to-month,credit card (automatic),71.45,1033.95,no
male,0,no,no,44,yes,fiber optic,no,no,no,month-to-month,credit card (automatic),71.45,2958.95,no
female,0,no,no,33,yes,fiber optic,no,yes,no,one year,bank transfer (automatic),71.45,2684.85,no
male,0,yes,yes,72,yes,dsl,yes,yes,no,two year,credit card (automatic),71.45,4179.2,no
male,0,no,no,1,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,79.9,yes
female,0,no,no,19,yes,fiber optic,yes,yes,yes,month-to-month,electronic check,71.45,1934.45,yes
male,0,yes,no,64,yes,fiber optic,no,yes,yes,one year,credit card (automatic),71.45,6654.1,no
male,0,no,no,2,yes,dsl,no,no,no,month-to-month,credit card (automatic),71.45,84.5,yes
female,0,no,no,1,yes,dsl,no,no,no,month-to-month,electronic check,71.45,25.25,no
male,0,no,yes,61,yes,no,no internet service,no internet service,no internet service,two year,mailed check,71.45,1124.2,no
female,0,yes,yes,29,yes,no,no internet service,no internet service,no internet service,one year,electronic check,71.45,540.05,no
male,1,yes,no,23,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,1975.85,no
female,0,yes,no,57,yes,dsl,yes,no,yes,month-to-month,bank transfer (automatic),71.45,3437.45,no
male,0,yes,yes,72,yes,dsl,yes,yes,no,two year,credit card (automatic),71.45,3139.8,no
male,0,yes,no,66,yes,dsl,yes,yes,yes,two year,bank transfer (automatic),71.45,3789.2,no
male,0,yes,yes,65,yes,dsl,no,yes,yes,two year,bank transfer (automatic),71.45,5324.5,no
female,0,no,no,8,yes,fiber optic,no,no,yes,month-to-month,bank transfer (automatic),71.45,624.6,no
female,0,no,no,4,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,268.35,yes
female,0,yes,no,71,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,1836.9,no
male,0,yes,yes,1,yes,no,no internet service,no internet service,no internet service,one year,electronic check,71.45,20.2,no
male,0,yes,no,4,yes,dsl,no,yes,no,month-to-month,mailed check,71.45,179.35,yes
female,0,no,no,12,yes,no,no internet service,no internet service,no internet service,one year,bank transfer (automatic),71.45,219.35,no
male,0,no,no,24,yes,dsl,yes,no,yes,one year,mailed check,71.45,1288.75,no
female,0,yes,yes,31,yes,dsl,yes,yes,yes,one year,mailed check,71.45,2545.75,no
female,0,yes,no,1,yes,dsl,no,no,yes,month-to-month,mailed check,71.45,55.2,yes
male,0,no,no,30,yes,fiber optic,no,yes,no,month-to-month,credit card (automatic),71.45,2723.15,no
female,0,yes,yes,47,yes,dsl,yes,yes,yes,two year,credit card (automatic),71.45,4107.25,no
male,0,no,no,54,yes,fiber optic,yes,yes,yes,two year,credit card (automatic),71.45,5760.65,no
male,0,no,no,50,yes,fiber optic,yes,yes,no,month-to-month,credit card (automatic),71.45,4747.5,no
male,0,no,no,1,yes,fiber optic,yes,no,no,month-to-month,mailed check,71.45,84.6,yes
female,0,no,no,72,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),71.45,1566.9,no
female,0,no,no,29,yes,no,no internet service,no internet service,no internet service,month-to-month,electronic check,71.45,702.0,no
male,0,no,no,2,yes,dsl,no,no,no,month-to-month,mailed check,71.45,114.1,yes
female,0,no,no,10,yes,dsl,no,yes,no,two year,mailed check,71.45,299.05,no
male,0,yes,no,18,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,1305.95,no
female,1,no,no,11,yes,fiber optic,no,no,yes,month-to-month,electronic check,71.45,1120.3,yes
male,0,no,no,16,yes,no,no internet service,no internet service,no internet service,two year,mailed check,71.45,284.35,no
female,0,no,no,72,yes,dsl,no,yes,yes,two year,bank transfer (automatic),71.45,6350.5,no
male,0,no,no,72,yes,fiber optic,no,yes,yes,two year,bank transfer (automatic),71.45,7878.3,no
female,0,yes,yes,41,yes,dsl,yes,yes,yes,one year,credit card (automatic),71.45,3187.65,no
female,1,yes,no,65,yes,fiber optic,yes,no,no,month-to-month,electronic check,71.45,6126.15,no
female,1,no,no,13,yes,dsl,no,no,no,month-to-month,electronic check,71.45,731.3,no
male,1,no,no,4,yes,fiber optic,yes,no,no,month-to-month,electronic check,71.45,273.4,no
male,0,no,no,41,yes,dsl,no,no,no,one year,mailed check,71.45,2531.8,no
male,1,no,no,15,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,1074.3,yes
male,0,no,no,1,yes,dsl,yes,no,no,month-to-month,mailed check,71.45,48.55,yes
male,0,no,no,42,yes,fiber optic,yes,no,no,one year,electronic check,71.45,4298.45,no
female,0,yes,no,51,yes,fiber optic,yes,no,yes,one year,electronic check,71.45,4619.55,no
female,0,yes,yes,2,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,147.15,yes
male,1,yes,no,1,yes,dsl,no,no,yes,month-to-month,electronic check,71.45,40.2,yes
male,0,no,yes,32,yes,dsl,no,yes,yes,one year,credit card (automatic),71.45,2633.3,no
male,0,no,no,10,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,71.45,193.05,no
female,0,yes,yes,67,yes,dsl,no,yes,yes,two year,electronic check,71.45,4103.9,no
female,0,yes,yes,61,yes,fiber optic,yes,yes,yes,two year,credit card (automatic),71.45,7008.15,no
male,0,no,no,50,yes,fiber optic,yes,yes,yes,one year,credit card (automatic),71.45,5791.1,no
female,0,yes,no,2,yes,dsl,no,no,no,month-to-month,credit card (automatic),71.45,80.55,yes
female,1,yes,no,29,yes,dsl,yes,no,no,month-to-month,electronic check,71.45,1228.65,no
male,1,no,no,3,yes,dsl,no,no,no,month-to-month,electronic check,71.45,132.2,yes
male,1,no,no,13,yes,fiber optic,no,no,yes,month-to-month,electronic check,71.45,1364.3,yes
male,1,yes,no,57,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,4925.35,no
female,0,no,no,31,yes,dsl,yes,yes,no,two year,bank transfer (automatic),71.45,1520.1,no
female,0,yes,no,45,yes,fiber optic,yes,yes,yes,one year,mailed check,71.45,5032.25,no
female,0,yes,yes,61,yes,dsl,yes,yes,yes,two year,mailed check,71.45,5526.75,no
male,0,no,no,50,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,1195.25,no
female,1,no,no,19,yes,fiber optic,yes,yes,yes,month-to-month,mailed check,71.45,2007.25,no
male,0,no,no,59,yes,no,no internet service,no internet service,no internet service,two year,mailed check,71.45,1099.6,yes
female,0,yes,no,71,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),71.45,1732.95,no
female,1,no,no,16,yes,fiber optic,no,yes,yes,month-to-month,electronic check,71.45,1511.2,yes
male,0,yes,no,57,yes,dsl,yes,yes,no,two year,electronic check,71.45,3450.15,no
male,0,no,no,1,yes,dsl,no,no,no,month-to-month,bank transfer (automatic),71.45,24.8,yes
male,1,yes,no,20,yes,fiber optic,no,yes,yes,month-to-month,electronic check,71.45,2172.05,no
male,0,no,no,1,yes,fiber optic,no,no,no,month-to-month,mailed check,71.45,70.6,yes
male,0,yes,no,5,yes,fiber optic,no,yes,no,month-to-month,electronic check,71.45,401.1,yes
female,0,yes,no,52,yes,fiber optic,no,no,yes,month-to-month,electronic check,71.45,5624.85,yes
male,1,yes,no,21,yes,dsl,yes,no,no,month-to-month,bank transfer (automatic),71.45,1339.8,no
male,0,no,no,14,yes,dsl,no,yes,yes,month-to-month,electronic check,71.45,771.95,no
female,0,no,no,5,yes,dsl,no,no,no,month-to-month,bank transfer (automatic),71.45,244.75,no
female,0,no,no,6,yes,dsl,yes,no,no,month-to-month,mailed check,71.45,322.9,no
female,0,no,no,10,yes,dsl,no,no,no,month-to-month,electronic check,71.45,498.25,no
female,0,no,yes,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,71.45,25.4,no
female,0,no,no,68,yes,dsl,yes,no,no,month-to-month,mailed check,71.45,3687.75,no
male,0,yes,yes,18,yes,fiber optic,no,no,yes,month-to-month,mailed check,71.45,1779.95,yes
female,0,no,no,22,yes,fiber optic,no,no,no,one year,credit card (automatic),71.45,1783.6,no
female,0,no,no,20,yes,dsl,no,no,no,month-to-month,electronic check,71.45,927.15,no
male,0,yes,no,1,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,70.0,yes
male,1,no,no,8,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,606.55,yes
male,0,no,no,10,yes,dsl,no,no,no,month-to-month,credit card (automatic),71.45,435.4,yes
male,1,no,no,24,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,1712.7,yes
male,0,no,no,35,yes,dsl,yes,no,no,one year,mailed check,71.45,2021.2,no
